"query","restaurant_name","restaurant_id","label","reason","district","cuisines","source"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Hải Sản Biển Đêm","768951","0","Sai quận, quán ở Quận 9 không phải Quận 6","Quận 9","Món Miền Nam","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Biển Nhà Tôi - Quán Ăn Hải Sản","758278","0","Sai quận, quán ở Huyện Cần Giờ không phải Quận 6","Huyện Cần Giờ","Món Việt","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Quán Hải Sản 68","922987","4","Quán hải sản đúng quận 6, mở cửa tối thứ sáu phù hợp","Quận 6","Món Việt","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Ẩm Thực 214 - Hải Sản Tươi Sống","895273","0","Sai quận, quán ở Quận Gò Vấp không phải Quận 6","Quận Gò Vấp","Món Việt","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Quán Hải Sản Cần Giờ","224879","0","Sai quận, quán ở Quận 7 không phải Quận 6","Quận 7","Món Việt","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Phố Biển - Trường Sơn","913153","0","Sai quận, quán ở Quận Tân Bình không phải Quận 6","Quận Tân Bình","Món Việt","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Quán Đạt - Hải Sản & Các Món Nhậu Bình Dân","652393","0","Sai quận, quán ở Quận 7 không phải Quận 6","Quận 7","Món Việt","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Quán Vị Biển - Hải Sản Bình Dân","802486","0","Sai quận, quán ở Quận 12 không phải Quận 6","Quận 12","Món Việt","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Hương Biển Quán - Nhậu Hải Sản","949273","0","Sai quận, quán ở Quận 3 không phải Quận 6","Quận 3","Món Việt","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Mr.Đô Cajun Seafood","1046488","0","Sai quận, quán ở Quận 1 không phải Quận 6","Quận 1","Món Việt","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Hải Sản - Ốc 212","642749","0","Sai quận, quán ở Quận 1 không phải Quận 6","Quận 1","Món Việt","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Phố Bia - Hải Sản Tươi Sống","678118","0","Sai quận, quán ở Quận 12 không phải Quận 6","Quận 12","Món Việt","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Quán Đảo - Cá Biển Nướng","672060","0","Sai quận, quán ở Quận 3 không phải Quận 6","Quận 3","Món Việt","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Phố Biển - Hải Sản Tươi Sống - Tắc Suất","42889","0","Sai quận, quán ở Huyện Cần Giờ không phải Quận 6","Huyện Cần Giờ","Món Việt","pinecone"
"Tôi muốn tìm 1 quán ăn hải sản ở quận 6 cho tối thứ sáu","Tình Bạn Quán - Chuyên Hải Sản Tươi Sống","263475","0","Sai quận, quán ở Quận 5 không phải Quận 6","Quận 5","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","FUNNY Foods & Drinks","714722","4","Ăn vặt, quận Bình Thạnh, món Việt và món Á phù hợp.","Quận Bình Thạnh","Món Việt || Món Á","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Ăn Vặt & Coffee","973870","4","Ăn vặt rõ ràng, quận Bình Thạnh, giá phù hợp.","Quận Bình Thạnh","Món Việt","pinecone"
"Hãy gợi ý cho tôi 1 quán ăn vặt quận bình thạnh","Nghĩ Cũng Lạ À Nghen - Kem Bơ & Ăn Vặt","710986","0","Không ở quận Bình Thạnh, quận 7 nên không phù hợp.","Quận 7","Món Việt","pinecone"
